SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
XV6365	1	27.95	14.45	39	Days_5	Auction
XV6365GR	1	27.95	14.45	39	Days_5	Auction
XV6366BL	1	27.95	14.45	39	Days_5	Auction
XV6366GR	1	27.95	14.45	39	Days_5	Auction
XV6378	1	20.95	8.25	27	Days_5	Auction
XV6394	1	18.95	9	26	Days_5	Auction
XV6432	1	33.95	8.95	39	Days_5	Auction
XV6432BL	1	33.95	8.95	39	Days_5	Auction
XV6469	1	31.95	8.95	37	Days_5	Auction
XV6515	1	65.95	29.95	87	Days_5	Auction
YG5024YB	1	27.95	9.8	34	Days_5	Auction
YG6009RD	1	44.95	18.95	58	Days_5	Auction
YS8055BRX2	1	81.95	10.2	83	Days_5	Auction
YV6611	1	27.95	9	34	Days_5	Auction
YW6648BL	1	56.95	14.65	65	Days_5	Auction
YW6835	1	107.95	7.2	104	Days_5	Auction
YW6908	1	28.95	8.95	35	Days_5	Auction
ZT9057	1	94.95	33	116	Days_5	Auction
ZX7217	1	19.95	8.25	26	Days_5	Auction
ZX7217BK	1	19.95	8.25	26	Days_5	Auction
